name,local_path,beauty_raw,status,beauty_1to5,department,avg_rating,avg_difficulty,would_take_again_percent,school_name
Shahin Nazarian,Shahin Nazarian.jpg,22.96259308,ok,1.51,Engineering,4.5,3.2,84.5,USC
Shaddin Dughmi,Shaddin Dughmi.jpg,32.61911774,ok,3.28,Computer Science,2,4.6,24.6,USC
Shaama Sharada,Shaama Sharada.jpeg,32.86200714,ok,3.36,Engineering,3.3,4.3,33.3,USC
Sergio Carbajo,Sergio Carbajo.png,36.42792892,ok,5,Engineering,5,3.5,100,UCLA
Sergei  Maslov,Sergei_Maslov.jpg,26.8094883,ok,1.96,Bioengineering,2.3,1.7,33.3,UIUC
Seo Jin Park,Seo Jin Park.jpeg,50.06560898,ok,4.87,Computer Science,2.3,4,33.3,USC
Selim Senkan,Selim Senkan.jpg,27.92486572,ok,2.82,Engineering,2.2,3.1,-1,UCLA
Scott Willenbrock,Scott_Willenbrock.jpg,28.35155487,ok,2.33,Physics,4.8,2.4,100,UIUC
Scott John Easley,Scott John Easley.png,42.78116989,ok,4.66,Computer Science,4.2,2.5,72,USC
Saurabh  Gupta,Saurabh_Gupta.jpg,64.11421204,ok,4.98,Electrical & Computer Engineering,1.4,4.5,8.3,UIUC
Saty Raghavachary,Saty Raghavachary.png,78.1348114,ok,4.99,Computer Science,4,2.5,72.5,USC
Satwindar Singh Sadhal,Satwindar Singh Sadhal.jpg,30.25467491,ok,2.91,Engineering,4.1,2.7,66.7,USC
Satish Kumar Thittamaranahalli,Satish Kumar Thittamaranahalli.png,25.35232544,ok,1.88,Computer Science; Engineering,2.9,4,37.5,USC
Sanjit Mitra,Sanjit Mitra.jpg,25.93767929,ok,2.01,Engineering,2,5,-1,USC
Sanjay Patel,Sanjay_Patel.jpg,30.91360092,ok,3.17,Engineering,3,3.6,40,UIUC
Sanjay Madhav,Sanjay Madhav.jpeg,29.11245537,ok,2.69,Computer Science,4.8,2.5,89.7,USC
Sandeep Gupta,Sandeep Gupta.jpg,27.33640671,ok,2.3,Engineering,3.9,3.2,66.7,USC
Samanvaya Srivastava,Samanvaya Srivastava.jpg,27.97683525,ok,3,Engineering,1,4,0,UCLA
Salman Avestimehr,Salman Avestimehr.png,37.96980286,ok,4.31,Engineering,4.4,3.4,100,USC
Saakar Byahut,Saakar Byahut.jpg,35.75616837,ok,4.04,Engineering,4.3,3.7,88.9,USC
Ryan S. Park,Ryan S. Park.jpg,25.54066086,ok,1.93,Engineering,5,4,100,USC
Ryan Mullen,Ryan_Mullen.jpg,28.35209274,ok,2.35,Engineering,3.5,4.5,50,UIUC
Ruishan Liu,Ruishan Liu.jpg,27.9430542,ok,2.43,Computer Science,5,3,100,USC
Roy  Dong,Roy_Dong.jpg,26.20185089,ok,1.74,Electrical & Computer Engineering,4.2,2.8,83.3,UIUC
