name,school_name,local_path
Alan Ardell,UCLA,Alan Ardell.png
Jenn-Ming Yang,UCLA,Jenn-Ming Yang.jpg
Ya-Hong Xie,UCLA,Ya-Hong Xie.jpg
Gaurav Sant,UCLA,Gaurav Sant.png
Qibing Pei,UCLA,Qibing Pei.jpg
Ali Mosleh,UCLA,Ali Mosleh.jpg
Jaime Marian,UCLA,Jaime Marian.jpg
Ioanna Kakoulli,UCLA,Ioanna Kakoulli.jpg
Yu Huang,UCLA,Yu Huang.jpg
Ximin He,UCLA,Ximin He.jpg
Bruce Dunn,UCLA,Bruce Dunn.jpg
Suneel Kodambaka,UCLA,Suneel Kodambaka.jpg
Mark Goorsky,UCLA,Mark Goorsky.jpg
Dwight Streit,UCLA,Dwight Streit.jpg
Scott Brandenberg,UCLA,Scott Brandenberg.jpg
Timothy Deming,UCLA,Timothy Deming.jpg
Henry Samueli,UCLA,Henry Samueli.png
Lixia Zhang,UCLA,Lixia Zhang.png
Carlo Zaniolo,UCLA,Carlo Zaniolo.png
Wei Wang,UCLA,Wei Wang.png
George Varghese,UCLA,George Varghese.png
Guy Van den Broeck,UCLA,Guy Van den Broeck.jpg
Demetri Terzopoulos,UCLA,Demetri Terzopoulos.png
Yuval Tamir,UCLA,Yuval Tamir.png
Yizhou Sun,UCLA,Yizhou Sun.jpg
Stefano Soatto,UCLA,Stefano Soatto.jpg
David Smallberg,UCLA,David Smallberg.png
Alexander Sherstov,UCLA,Alexander Sherstov.png
Majid Sarrafzadeh,UCLA,Majid Sarrafzadeh.png
Sriram Sankararaman,UCLA,Sriram Sankararaman.png
Amit Sahai,UCLA,Amit Sahai.jpg
Glenn Reinman,UCLA,Glenn Reinman.jpg
Peter Reiher,UCLA,Peter Reiher.jpg
Ramin Ramezani,UCLA,Ramin Ramezani.jpg
Miodrag Potkonjak,UCLA,Miodrag Potkonjak.png
Judea Pearl,UCLA,Judea Pearl.jpg
Giovanni Pau,UCLA,Giovanni Pau.png
D. Stott Parker,UCLA,D. Stott Parker.png
Jens Palsberg,UCLA,Jens Palsberg.jpg
Rafail Ostrovsky,UCLA,Rafail Ostrovsky.jpg
Stanley Osher,UCLA,Stanley Osher.jpg
Tony Nowatzki,UCLA,Tony Nowatzki.jpg
Carey Nachenberg,UCLA,Carey Nachenberg.jpg
Richard Muntz,UCLA,Richard Muntz.jpg
Todd Millstein,UCLA,Todd Millstein.png
Raghu Meka,UCLA,Raghu Meka.png
Rupak Majumdar,UCLA,Rupak Majumdar.png
Songwu Lu,UCLA,Songwu Lu.png
Richard Korf,UCLA,Richard Korf.jpg
Allen Klinger,UCLA,Allen Klinger.png
Leonard Kleinrock,UCLA,Leonard Kleinrock.png
Miryung Kim,UCLA,Miryung Kim.jpg
Alan Kay,UCLA,Alan Kay.png
David Heckerman,UCLA,David Heckerman.png
Eran Halperin,UCLA,Eran Halperin.jpg
