school,professor,department,avg_rating,avg_difficulty,would_take_again_percent
University of Southern California,Sanjay Purushotham,Computer Science,4.800000000000001,3.8,100.0
University of Southern California,Sanjit Mitra,Engineering,2.0,5.0,-1.0
University of Southern California,Sarah Mojarad,Engineering,3.5,3.0,65.0
University of Southern California,Satish Thittamaranahalli,Computer Science; Engineering,2.9000000000000004,4.0,37.5
University of Southern California,Satsuki Takahashi,Engineering,4.800000000000001,3.2,-1.0
University of Southern California,Satwindar Sadhal,Engineering,4.1000000000000005,2.7,66.7
University of Southern California,Saty Raghavachary,Computer Science,4.0,2.5,72.5
University of Southern California,Scott Easley,Computer Science,4.2,2.5,72.0
University of Southern California,Seo Jin Park,Computer Science,2.3000000000000003,4.0,33.300000000000004
University of Southern California,Seojin Park,Computer Science,0.0,0.0,-1.0
University of Southern California,Seon Kim,Engineering,1.3,4.6000000000000005,0.0
University of Southern California,Shaama Sharada,Engineering,3.3000000000000003,4.3,33.300000000000004
University of Southern California,Shaddin Dughmi,Computer Science,2.0,4.6000000000000005,24.6
University of Southern California,Shahed Rowshan,Engineering,0.0,0.0,-1.0
University of Southern California,Shahin Nazarian,Engineering,4.5,3.2,84.5
University of Southern California,Shahram Ghandeharizadeh,Computer Science,3.0,3.3000000000000003,48.0
University of Southern California,Shahriar Shamsian,Computer Science,4.0,3.6,80.7
University of Southern California,Shalini Gupta,Engineering,2.4000000000000004,3.1,32.300000000000004
University of Southern California,Sheila Tejada,Computer Science,1.5,3.5,17.400000000000002
University of Southern California,Sheldon Ross,Engineering,2.2,3.9,12.5
University of Southern California,Shermin Arab,Engineering,1.5,4.0,-1.0
University of Southern California,Shinyi WU,Engineering,4.7,1.9,100.0
University of Southern California,Shrikanth Narayanan,Engineering,5.0,3.0,100.0
University of Southern California,Siari Sosa,Engineering,3.3000000000000003,2.5,100.0
University of Southern California,Sifat Muin,Engineering,3.0,3.0,0.0
University of Southern California,Sima Parisay,Engineering,1.3,4.1000000000000005,0.0
University of Southern California,Sinan Seymen,Computer Science,4.800000000000001,1.9,94.1
University of Southern California,Sirisha Rambhatla,Computer Science,3.5,4.0,50.0
University of Southern California,Sofus MacSkassy,Computer Science,5.0,4.0,-1.0
University of Southern California,Somil Bansal,Engineering,4.0,4.3,66.7
University of Southern California,Sridhar Narayanan,Engineering,5.0,3.0,100.0
University of Southern California,Srivatsan Ravi,Computer Science,0.0,0.0,-1.0
University of Southern California,Stacey Finley,Engineering,3.3000000000000003,3.1,54.5
University of Southern California,Stan Settles,Engineering,2.3000000000000003,2.0,-1.0
University of Southern California,Stanley Yamashiro,Engineering,2.2,2.6,17.6
University of Southern California,Stefan McGregor,Engineering,5.0,2.7,95.8
University of Southern California,Stefan Schaal,Computer Science,0.0,0.0,-1.0
University of Southern California,Stefanos Nikolaidis,Computer Science,4.5,2.5,100.0
University of Southern California,Stephen Cronin,Engineering,3.5,2.7,85.7
University of Southern California,Stephen Lu,Engineering,1.2000000000000002,4.2,0.0
University of Southern California,Steve Jacobs,Computer Science,5.0,1.0,-1.0
University of Southern California,Steve Nutt,Engineering,1.7000000000000002,4.1000000000000005,25.0
University of Southern California,Sunil Bharitkar,Engineering,4.0,4.0,-1.0
University of Southern California,Sunny Wang,Engineering,0.0,0.0,-1.0
University of Southern California,Supannika Koolmanojwong,Computer Science,1.0,4.1000000000000005,0.0
University of Southern California,Susan Schober,Engineering,3.4000000000000004,3.1,59.3
University of Southern California,Suvrajeet Sen,Engineering,2.2,3.4000000000000004,0.0
University of Southern California,Suya You,Computer Science,0.0,0.0,-1.0
University of Southern California,Sven Koenig,Computer Science,3.4000000000000004,3.6,40.0
University of Southern California,Swabha Swayamdipta,Computer Science,3.0,3.7,52.2
University of Southern California,Sze-Chuan Suen,Engineering,2.8000000000000003,4.3,50.0
University of Southern California,TA Pranavi Jain,Engineering,0.0,0.0,-1.0
University of Southern California,Tao Ma,Engineering,4.4,3.2,81.80000000000001
University of Southern California,Tatyana Ryutov,Computer Science,2.0,3.9,22.6
University of Southern California,Ted Lee,Engineering,4.800000000000001,2.6,100.0
University of Southern California,Theodore Mayeshiba,Engineering,5.0,3.0,100.0
University of Southern California,Theodore Tsotsis,Engineering,0.0,0.0,-1.0
University of Southern California,Thomas Booth,Engineering,4.3,3.0,66.7
University of Southern California,Thomas McKendree,Engineering,1.8,5.0,-1.0
University of Southern California,Timothy Li,Engineering,3.7,1.7000000000000002,66.7
University of Southern California,Todd Brun,Engineering,2.9000000000000004,3.7,42.900000000000006
